,리뷰수(개),평점,평균 연봉(만)
한전케이디엔(주),594,3.4,3688
블루버드(주),321,2.7,4391
인베니아(주),277,2.9,4216
한국아이비엠테크니컬솔루션(유),273,2.7,3438
(주)에이텍,200,2.6,3366
토비스(주),190,2.8,4375
한국내쇼날인스트루먼트(주),181,3.3,5067
(주)딜리,165,1.7,3568
(주)앱코,156,1.8,3291
어드밴텍케이알(주),140,2.4,3899
(주)대우루컴즈,134,2.9,3261
(주)포인트모바일,130,2.2,3420
코츠테크놀로지(주),121,2.5,3958
(주)에이텍시스템,119,2.3,2749
(주)삼보컴퓨터,118,2.8,3311
디에스글로벌(주),108,2.2,3502
도시바삼성스토리지테크놀러지코리아(주),101,2.9,8436
(주)럭스로보,89,2.3,4336
서울스탠다드(주),83,2.1,3950
(주)엠브레인,82,2.3,3671
디젠(주),72,2.2,3178
(주)씨앤에스,61,2.3,3440
(주)디지아이,54,2.4,3516
(주)주연테크,53,2.8,2893
에이제이전시몰(주),49,2.2,3107
디지레이(주),48,2.5,3131
(주)미루시스템즈,45,2.5,3756
잘만테크(주),45,2.4,3173
에이팀벤처스(주),44,2.6,3328
(주)브이씨에이테크놀로지,42,3.7,4189
레드스톤시스템(주),40,2.4,2952
영우씨엔아이(주),40,2.2,2780
(주)테크빌,38,2.4,3989
(주)아이피엘,37,2.4,3097
초이스테크놀로지(주),37,1.8,2860
(주)아임유,36,2.3,3640
디에스티인터내셔날(주),36,3.1,3950
(주)에즈웰플러스,35,2.9,3234
(주)엔와이컴퓨터,35,2.2,2901
앤커웨이브(주),35,2.9,3190
모뉴엘(주),31,2.6,3590
에프투텔레콤(주),31,2.6,2994
(주)디지텍시스템스,30,2.3,2849
(주)콘텐츠브릿지,30,3.0,3789
몬스타(주),30,1.7,2585
(주)한국스테노,29,2.1,2271
범우정보기술(주),28,3.0,2986
에스씨에스프로(주),28,2.6,3158
(주)모션테크놀로지,27,2.9,3280
엠토스솔루션스(주),27,2.9,2996
다나와컴퓨터(주),24,2.2,3420
유니와이드테크놀러지(주),24,2.0,2710
(주)비디오젯코리아,23,2.3,4316
(주)하나텍시스템,23,2.7,3437
(주)포엠아이,22,2.2,3528
(주)씨코드,19,2.4,3128
누리콘(주),18,2.5,3182
쿨랜스코리아(주),18,1.7,3010
(주)인피테크,17,1.9,2580
(주)앤비젼,16,4.1,5266
(주)카멜,16,2.3,3405
로봇앤컴(주),16,4.3,3414
아이티스정보통신(주),16,3.4,2723
(주)그란코,15,2.5,3193
(주)한백전자,15,2.3,2660
(주)캐치웰,14,2.3,2654
코발트레이(주),14,1.6,2538
(주)제스트전자,13,2.5,2472
비아비솔루션스코리아(유),13,2.5,5303
(주)상상제작소,12,2.5,4001
지테크시스템(주),12,3.7,2767
도연시스템즈(주),11,1.6,3765
조은시스템,11,2.3,1649
한경아이넷(주),11,2.8,3842
에디켓(주),10,4.7,4005
(주)티앤엠테크,9,1.8,3469
(주)딥엑스,8,4.0,5691
(주)인성아이티,8,3.5,2707
워크브레인(주),8,3.3,3233
(주)다산데이타,7,3.3,3380
(주)디알테크아이앤씨,7,2.1,3263
(주)바이엠텍,7,2.7,2568
(주)브로나인,7,4.3,3585
(주)수호아이티,7,1.6,2981
(주)디지베이스,6,3.3,3266
미래디피(주),6,2.7,2547
(주)리드텍,5,2.6,3424
(주)씨아이제이코리아,5,3.6,2629
(주)유비스코프,5,3.8,4814
(주)테크아이,5,1.2,2614
켐스(주),5,1.4,2990
(주)이볼드,4,3.0,2415
세마전자(주),4,1.5,3276
(주)다인엔시스,3,1.3,2376
(주)포스센터,3,2.0,2340
동광기연(주),3,2.3,4644
비앤에스미디어(주),3,2.3,3066
아이들(주),3,2.7,4259
오브젝트빌드,3,3.7,6150
(주)도시엔컴,2,2.5,2439
(주)명인이노,2,3.0,2894
(주)비맥스테크놀로지,2,2.5,4387
(주)씨엔비지넷,2,2.0,3999
(주)엑스오컴퍼니,2,2.0,3458
(주)크레이코리아,2,4.5,3900
대성엘앤에이(주),2,4.0,3533
대신네트웍스(주),2,4.0,3190
마트오케이(주),2,4.0,2717
씨엠에스시스템,2,1.5,2048
아이스테이션(주),2,2.5,4160
에이스테크,2,2.0,2200
캐드정보기술(주),2,1.0,2298
(주)아이티마야,1,3.0,3414
(주)에스엠시스템즈,1,1.0,2461
(주)엔지니어스톡,1,5.0,3414
(주)파이엇,1,4.0,3414
더존넥스트(주),1,2.0,4516
미래미디어,1,1.0,1260
스마트잉크(주),1,4.0,4875
큐로이드(주),1,5.0,3811
